side,m1_previous_body_bucket,m1_previous_range_bucket,m1_previous_volume_bucket,directional_alignment,horizon_minutes,sample_size,sample_status,success_rate,avg_mfe_atr,avg_mae_atr,avg_return_atr,median_return_atr
DOWN,SMALL_BODY,LOW_RANGE,NORMAL_VOLUME,NO_ALIGNMENT,5,484,ADEQUATE,0.5929752066115702,1.4718766856347614,0.8653344970016069,0.3634624825208847,0.36709526668095804
DOWN,SMALL_BODY,NORMAL_RANGE,LOW_VOLUME,PARTIAL_ALIGNMENT,5,455,ADEQUATE,0.5494505494505495,1.519539986061524,1.0337388750235292,0.26419062833700135,0.21300138312567354
DOWN,STRONG_BODY,EXPANSION_RANGE,NORMAL_VOLUME,NO_ALIGNMENT,5,455,ADEQUATE,0.5582417582417583,1.3097166660299784,1.0500140083905276,0.1334862302212175,0.17015341701524556
UP,SMALL_BODY,NORMAL_RANGE,LOW_VOLUME,PARTIAL_ALIGNMENT,5,447,ADEQUATE,0.5391498881431768,1.4916020595046489,1.0122031067116612,0.2270032045765291,0.13270142180049346
UP,MEDIUM_BODY,LOW_RANGE,NORMAL_VOLUME,NO_ALIGNMENT,5,374,ADEQUATE,0.5721925133689839,1.316227994420164,1.0244201609887031,0.17243052498042252,0.27047655366859946
DOWN,MEDIUM_BODY,LOW_RANGE,NORMAL_VOLUME,FULL_ALIGNMENT,5,361,ADEQUATE,0.5734072022160664,1.4524133345651156,1.0146890193342184,0.11151692692181236,0.1727605118832982
DOWN,MEDIUM_BODY,LOW_RANGE,NORMAL_VOLUME,NO_ALIGNMENT,5,357,ADEQUATE,0.6134453781512605,1.369526299237826,0.918782103119521,0.24492970128125777,0.24520040417648511
DOWN,STRONG_BODY,EXPANSION_RANGE,HIGH_VOLUME,PARTIAL_ALIGNMENT,5,350,ADEQUATE,0.5342857142857143,1.7497183317408735,1.2432599504646067,0.15005712139151928,-0.0025538124770215927
UP,MEDIUM_BODY,LOW_RANGE,NORMAL_VOLUME,FULL_ALIGNMENT,5,335,ADEQUATE,0.5313432835820896,1.363660944916945,0.963204544844943,0.20308066066846825,0.04640371229672623
DOWN,MEDIUM_BODY,EXPANSION_RANGE,NORMAL_VOLUME,FULL_ALIGNMENT,5,317,ADEQUATE,0.49842271293375395,1.3803525892869932,1.2894141193523307,-0.07510985198587875,-0.2639902676399917
