side,m1_previous_color,m5_color,m15_color,h1_color,horizon_minutes,sample_size,sample_status,success_rate,avg_mfe_atr,avg_mae_atr,avg_return_atr,median_return_atr
DOWN,DOJI,RED,GREEN,RED,15,17,INSUFFICIENT_SAMPLE,0.47058823529411764,2.264853579645339,2.0380635461644268,-0.08933346912853123,0.4854368932038402
UP,DOJI,GREEN,GREEN,GREEN,15,17,INSUFFICIENT_SAMPLE,0.47058823529411764,2.287407231763209,2.075813128543445,0.2427548432239623,0.09765051395010388
UP,DOJI,RED,GREEN,GREEN,15,17,INSUFFICIENT_SAMPLE,0.5294117647058824,2.2265298039674035,1.5545259964740814,0.5208619449878906,0.1617458279848768
DOWN,DOJI,GREEN,RED,RED,15,16,INSUFFICIENT_SAMPLE,0.6875,1.966036166063387,2.006977782352115,-0.02603229305104965,0.7139111397104076
DOWN,DOJI,RED,RED,GREEN,15,16,INSUFFICIENT_SAMPLE,0.625,3.545420629603047,1.794139971869835,1.8217174708625894,1.7746906247215573
DOWN,RED,DOJI,GREEN,RED,15,16,INSUFFICIENT_SAMPLE,0.375,2.018061052450056,2.769760954605367,-0.7979618868650162,-1.0038746418838203
UP,DOJI,RED,RED,RED,15,16,INSUFFICIENT_SAMPLE,0.5625,1.9404845794293153,1.8835506923409295,-0.05320075845055504,-0.009599270745305042
DOWN,RED,DOJI,RED,GREEN,15,15,INSUFFICIENT_SAMPLE,0.7333333333333333,2.3932307139098628,1.224284033231767,0.5133252703398303,0.9180327868852093
UP,DOJI,RED,RED,GREEN,15,15,INSUFFICIENT_SAMPLE,0.6666666666666666,2.967420647397333,1.606023713865165,1.1759828028314483,0.6180487804879484
UP,GREEN,DOJI,RED,GREEN,15,13,INSUFFICIENT_SAMPLE,0.23076923076923078,0.919465975000236,3.2578895606671017,-1.1892247108203338,-1.6498966230187218
UP,DOJI,GREEN,RED,RED,15,12,INSUFFICIENT_SAMPLE,0.5,2.340811707397185,2.4264123374467594,-0.10843811845767608,-0.4986642666663255
UP,DOJI,RED,GREEN,RED,15,12,INSUFFICIENT_SAMPLE,0.5833333333333334,2.912515903004044,1.650948383902884,0.5091316339209647,-0.09151203097601168
DOWN,DOJI,GREEN,GREEN,GREEN,15,11,INSUFFICIENT_SAMPLE,0.6363636363636364,1.6136124078925291,2.0717916113975807,-0.7568667730888357,0.11898016997188257
UP,DOJI,GREEN,GREEN,RED,15,11,INSUFFICIENT_SAMPLE,0.45454545454545453,2.705655325737553,2.3684394020622257,1.088442099595568,0.39707227813381285
DOWN,DOJI,GREEN,GREEN,RED,15,10,INSUFFICIENT_SAMPLE,0.5,1.9486646677667463,3.1755569818340446,-0.5769172673029879,0.2671305922625681
DOWN,DOJI,RED,GREEN,GREEN,15,10,INSUFFICIENT_SAMPLE,0.3,2.115400944609535,2.7599180442159836,-0.31812020499402777,-1.5537901543627832
UP,GREEN,DOJI,GREEN,RED,15,10,INSUFFICIENT_SAMPLE,0.5,1.7884001892856367,2.5719439660301964,0.03158204588229015,0.38766911868683535
DOWN,RED,GREEN,GREEN,DOJI,15,9,INSUFFICIENT_SAMPLE,0.3333333333333333,1.5826100255225308,4.404104510201576,-2.268199765343618,-0.8670309653922421
UP,GREEN,DOJI,GREEN,GREEN,15,9,INSUFFICIENT_SAMPLE,0.6666666666666666,1.5645475174747459,1.8750315189626825,-0.10006797181517366,0.22428940568503986
UP,RED,DOJI,RED,GREEN,15,9,INSUFFICIENT_SAMPLE,0.4444444444444444,1.9577334175316277,2.3831519277817077,-0.31049287689922556,-0.9434176855274417
DOWN,DOJI,GREEN,RED,GREEN,15,8,INSUFFICIENT_SAMPLE,0.625,3.142035408198086,2.615134211820892,-0.053725829434104644,1.5129669729833677
DOWN,RED,RED,DOJI,RED,15,8,INSUFFICIENT_SAMPLE,0.875,4.040208354276931,0.8477569972096114,1.677598467670699,1.816756467861416
UP,GREEN,RED,GREEN,DOJI,15,7,INSUFFICIENT_SAMPLE,1.0,9.4467753227085,0.06936336681942776,7.9496985102130395,9.528662420384164
