sequence_regime,event_group,breakout_attempt_bucket,htf_location_bias,mtf_alignment_bucket,mtf_bias,bars,avg_energy,avg_range_atr,avg_range_sum_5_atr,continuation_h6,pullback_0p50_h6,reach_1atr_h12,buy_edge,sell_edge,best_side,best_edge,edge_gap
NORMAL_SEQUENCE,BREAKOUT,BO_CLUSTER,UP_LOCATION,FULL,UP,128,57.17370712591056,1.1647936856572898,5.133827491779368,0.7578125,0.5546875,0.8515625,-0.0703125,-0.7265625,BUY,-0.0703125,0.65625
COMPRESSION_BUILDUP,FALSE_BREAK,BO_CLUSTER,UP_LOCATION,MIXED,UP,146,43.5099199602497,0.8345982895515666,4.4279177776961305,0.3287671232876712,0.8356164383561644,0.4863013698630137,-0.07534246575342474,-0.5273972602739726,BUY,-0.07534246575342474,0.45205479452054786
EXPANSION_CHAIN,FALSE_BREAK,BO_CLUSTER,UP_LOCATION,MIXED,UP,556,49.819576547783946,0.8656077972712048,4.980748148636527,0.36151079136690645,0.8381294964028777,0.4352517985611511,-0.0773381294964029,-0.6187050359712231,BUY,-0.0773381294964029,0.5413669064748201
NORMAL_SEQUENCE,NONE,BO_CLUSTER,DOWN_LOCATION,NONE,MIXED,466,36.63175572145006,0.732952719257679,4.940036186816698,0.47639484978540775,0.7811158798283262,0.6502145922746781,-0.07939914163090134,-0.5901287553648069,BUY,-0.07939914163090134,0.5107296137339056
NORMAL_SEQUENCE,FALSE_BREAK,BO_CLUSTER,STRONG_UP_LOCATION,NONE,MIXED,531,43.75787921553905,0.8800359313637849,4.769649224185772,0.5386064030131826,0.5969868173258004,0.67984934086629,-0.6854990583804144,-0.08851224105461392,SELL,-0.08851224105461392,0.5969868173258004
EXPANSION_CHAIN,FALSE_BREAK,BO_CLUSTER,DOWN_LOCATION,NONE,MIXED,429,52.956642025941896,0.9091857790437247,5.332394578330254,0.41025641025641024,0.8321678321678322,0.5174825174825175,-0.09090909090909088,-0.6083916083916083,BUY,-0.09090909090909088,0.5174825174825175
NORMAL_SEQUENCE,FALSE_BREAK,MULTI_BO,DOWN_LOCATION,NONE,MIXED,491,40.78726365021269,0.8741610648552046,4.65678712836349,0.43584521384928715,0.8533604887983707,0.5926680244399185,-0.10386965376782076,-0.6130346232179226,BUY,-0.10386965376782076,0.5091649694501018
NORMAL_SEQUENCE,NONE,MULTI_BO,DOWN_LOCATION,MIXED,DOWN,190,31.729294744318864,0.6756123733288698,4.5787915742298715,0.4,0.8315789473684211,0.5473684210526316,-0.5894736842105263,-0.11578947368421055,SELL,-0.11578947368421055,0.4736842105263157
NORMAL_SEQUENCE,NONE,BO_CLUSTER,UP_LOCATION,MIXED,UP,518,35.576263126186454,0.7083916352600429,4.758851607361649,0.4034749034749035,0.8108108108108109,0.49613899613899615,-0.1177606177606178,-0.5501930501930502,BUY,-0.1177606177606178,0.4324324324324324
NORMAL_SEQUENCE,FALSE_BREAK,BO_CLUSTER,UP_LOCATION,NONE,MIXED,1543,41.61723415164151,0.8564196082768885,4.706687058122447,0.41801685029163965,0.8243681140635126,0.5437459494491251,-0.5735580038885288,-0.12443292287751134,SELL,-0.12443292287751134,0.4491250810110175
