breakout_location_alignment,htf_location_bias,anchor_market_state,energy_bucket,mtf_alignment_bucket,mtf_bias,bars,avg_energy,avg_range_atr,continuation_h6,pullback_0p50_h6,reach_1atr_h12,buy_edge,sell_edge,best_side,best_edge,edge_gap
BREAKOUT_WITH_HTF_DOWN,DOWN_LOCATION,EXPANSION,HIGH,FULL,DOWN,159,72.96105109547192,1.2804989943353091,0.7610062893081762,0.4968553459119497,0.9245283018867925,-0.6981132075471699,0.25157232704402516,SELL,0.25157232704402516,0.949685534591195
NO_BREAKOUT,UP_LOCATION,NORMAL_FLOW,LOW,FULL,UP,120,31.25304532466222,0.7032186132529687,0.825,0.4166666666666667,0.8916666666666667,0.25,-0.8333333333333333,BUY,0.25,1.0833333333333333
NO_BREAKOUT,UP_LOCATION,SWEEP_OR_FALSE_BREAK,LOW,MIXED,DOWN,533,30.92986635855189,0.6948742893200142,0.7692307692307693,0.4146341463414634,0.849906191369606,-0.8348968105065666,0.24765478424015014,SELL,0.24765478424015014,1.0825515947467168
BREAKOUT_WITH_HTF_UP,UP_LOCATION,EXPANSION,HIGH,FULL,UP,192,72.04193109577483,1.224712960222625,0.8385416666666666,0.4583333333333333,0.9322916666666666,0.24479166666666669,-0.8385416666666666,BUY,0.24479166666666669,1.0833333333333333
NO_BREAKOUT,UP_LOCATION,SWEEP_OR_FALSE_BREAK,MEDIUM,FULL,UP,484,49.32874304392418,0.9115954471245401,0.8119834710743802,0.45041322314049587,0.9173553719008265,0.22520661157024796,-0.8181818181818181,BUY,0.22520661157024796,1.0433884297520661
NO_BREAKOUT,MIXED_LOCATION,SWEEP_OR_FALSE_BREAK,LOW,MIXED,DOWN,835,30.666702715181156,0.698108907379318,0.42634730538922155,0.732934131736527,0.5269461077844312,-0.7844311377245509,0.22395209580838327,SELL,0.22395209580838327,1.0083832335329341
BREAKOUT_MIXED_HTF,MIXED_LOCATION,EXPANSION,EXTREME,FULL,DOWN,145,89.0321154802957,1.8781312150692289,0.9379310344827586,0.503448275862069,1.0,-0.8413793103448276,0.22068965517241385,SELL,0.22068965517241385,1.0620689655172415
NO_BREAKOUT,DOWN_LOCATION,SWEEP_OR_FALSE_BREAK,LOW,FULL,DOWN,399,30.903494228829413,0.7016811928013609,0.7518796992481203,0.45112781954887216,0.9022556390977443,-0.8270676691729323,0.21804511278195493,SELL,0.21804511278195493,1.045112781954887
BREAKOUT_AGAINST_HTF_UP,UP_LOCATION,NORMAL_FLOW,HIGH,MIXED,DOWN,178,66.69186096666948,1.2118121682373213,0.7865168539325843,0.4887640449438202,0.9213483146067416,-0.8483146067415731,0.21348314606741575,SELL,0.21348314606741575,1.0617977528089888
BREAKOUT_AGAINST_HTF_DOWN,DOWN_LOCATION,NORMAL_FLOW,MEDIUM,MIXED,UP,289,49.684697915408115,0.9102889005188646,0.8131487889273357,0.42560553633217996,0.9100346020761245,0.2110726643598616,-0.8027681660899654,BUY,0.2110726643598616,1.013840830449827
NO_BREAKOUT,MIXED_LOCATION,NORMAL_FLOW,MEDIUM,MIXED,UP,205,49.42593583274791,0.8521956812403881,0.44390243902439025,0.7707317073170732,0.5756097560975609,0.20975609756097557,-0.751219512195122,BUY,0.20975609756097557,0.9609756097560975
NO_BREAKOUT,DOWN_LOCATION,SWEEP_OR_FALSE_BREAK,HIGH,MIXED,UP,139,66.42574985229518,1.221287064745106,0.8273381294964028,0.4748201438848921,0.935251798561151,0.20863309352517978,-0.7985611510791366,BUY,0.20863309352517978,1.0071942446043165
NO_BREAKOUT,MIXED_LOCATION,EXPANSION,HIGH,MIXED,DOWN,136,70.59314345977518,1.2524108140047001,0.3382352941176471,0.8897058823529411,0.47058823529411764,-0.7205882352941178,0.20588235294117646,SELL,0.20588235294117646,0.9264705882352942
BREAKOUT_WITH_HTF_UP,UP_LOCATION,NORMAL_FLOW,LOW,FULL,UP,409,33.21862687691132,0.739222057962854,0.8288508557457213,0.42053789731051344,0.8997555012224939,0.20293398533007334,-0.8557457212713937,BUY,0.20293398533007334,1.058679706601467
NO_BREAKOUT,MIXED_LOCATION,LOW_RANGE,LOW,MIXED,UP,152,27.681176498158134,0.5094521887148697,0.5131578947368421,0.625,0.6118421052631579,0.19736842105263158,-0.8421052631578947,BUY,0.19736842105263158,1.0394736842105263
NO_BREAKOUT,MIXED_LOCATION,LOW_RANGE,LOW,MIXED,DOWN,147,28.64387281516282,0.5209643408338795,0.4557823129251701,0.6666666666666666,0.5782312925170068,-0.7074829931972789,0.19727891156462585,SELL,0.19727891156462585,0.9047619047619048
BREAKOUT_AGAINST_HTF_UP,UP_LOCATION,NORMAL_FLOW,MEDIUM,MIXED,DOWN,400,49.28315674206628,0.9120994054673008,0.77,0.48,0.885,-0.7925,0.185,SELL,0.185,0.9775
NO_BREAKOUT,MIXED_LOCATION,SWEEP_OR_FALSE_BREAK,LOW,MIXED,UP,731,30.584019346732234,0.6940119348549249,0.43502051983584133,0.7277701778385773,0.518467852257182,0.16826265389876877,-0.7647058823529411,BUY,0.16826265389876877,0.93296853625171
NO_BREAKOUT,UP_LOCATION,SWEEP_OR_FALSE_BREAK,VERY_LOW,FULL,UP,137,15.192651086788205,0.5263682789283239,0.8102189781021898,0.41605839416058393,0.8832116788321168,0.16788321167883208,-0.8102189781021898,BUY,0.16788321167883208,0.9781021897810218
BREAKOUT_MIXED_HTF,MIXED_LOCATION,ACCEPTED_BREAKOUT,HIGH,FULL,DOWN,181,71.16090299545168,1.3514967717268875,0.9392265193370166,0.5193370165745856,1.0,-0.7458563535911602,0.1602209944751381,SELL,0.1602209944751381,0.9060773480662982
