layer,context_key,bars,avg_energy,avg_range_atr,avg_vol_ratio,continuation_h3,continuation_h6,continuation_h12,pullback_0p50_h6,reach_1atr_h12,rr_tp,rr_sl,rr_ambiguous,rr_no_touch,rr_edge,fusion_edge_score
3,hour=4|state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM,733,49.625245522213056,0.9811639811397413,0.9987743736462072,0.47885402455661663,0.514324693042292,0.5061391541609823,0.7107776261937244,0.6384720327421555,0.3506139154160982,0.6466575716234653,0.001364256480218281,0.0,-0.29604365620736706,0.01671214188267392
2,hour=9|state=SWEEP_OR_FALSE_BREAK,1378,57.0018589516656,1.0949032860902128,1.2222741526920577,0.4869375907111756,0.5123367198838897,0.5137880986937591,0.7873730043541364,0.7307692307692307,0.32075471698113206,0.6378809869375908,0.03991291727140784,0.0,-0.3171262699564587,0.016690856313497787
4,hour=3|state=NORMAL_FLOW|energy=MEDIUM|vol=HIGH,280,50.99434953431867,0.8760526006752526,1.121252018731942,0.525,0.48928571428571427,0.49642857142857144,0.7785714285714286,0.6928571428571428,0.3464285714285714,0.6285714285714286,0.025,0.0,-0.28214285714285714,0.016607142857142848
2,hour=7|state=SWEEP_OR_FALSE_BREAK,1665,42.67346490526874,0.8899316643704048,0.9494358590067937,0.4882882882882883,0.5081081081081081,0.4990990990990991,0.7201201201201202,0.6672672672672673,0.3387387387387387,0.6468468468468469,0.009009009009009009,0.0006006006006006006,-0.3081081081081082,0.016576576576576574
3,hour=6|state=LOW_RANGE|energy=LOW,209,27.957805855017423,0.5287946012502933,0.7959565874283221,0.5023923444976076,0.5167464114832536,0.49760765550239233,0.7081339712918661,0.6076555023923444,0.3492822966507177,0.6267942583732058,0.009569377990430622,0.004784688995215311,-0.2775119617224881,0.016507177033492804
1,hour=20,4356,54.01584917103356,1.00661851645764,1.160083540621462,0.4837006427915519,0.4903581267217631,0.5048209366391184,0.7640036730945822,0.7137281910009182,0.32966023875114786,0.6361340679522498,0.03168044077134986,0.0006887052341597796,-0.30647382920110194,0.016437098255280086
2,hour=6|state=COMPRESSION,165,48.29526665121017,0.8866032169710738,0.9500736190333494,0.5272727272727272,0.47878787878787876,0.509090909090909,0.703030303030303,0.6181818181818182,0.36363636363636365,0.6303030303030303,0.006060606060606061,0.0,-0.2666666666666666,0.016363636363636386
4,hour=6|state=SWEEP_OR_FALSE_BREAK|energy=LOW|vol=NORMAL,322,32.3622548749185,0.7194897633087843,0.8799750014098396,0.5093167701863354,0.5434782608695652,0.5062111801242236,0.7236024844720497,0.639751552795031,0.33540372670807456,0.6428571428571429,0.006211180124223602,0.003105590062111801,-0.30745341614906835,0.016304347826086946
3,hour=8|state=SWEEP_OR_FALSE_BREAK|energy=LOW,434,32.03555077860413,0.7051348417037329,0.8942257176382774,0.511520737327189,0.5,0.49539170506912444,0.7465437788018433,0.7073732718894009,0.3248847926267281,0.6428571428571429,0.02304147465437788,0.0,-0.3179723502304148,0.016244239631336366
4,hour=3|state=ACCEPTED_BREAKOUT|energy=HIGH|vol=HIGH,254,71.0265577571959,1.3407563258050803,1.3213399030157595,0.452755905511811,0.5039370078740157,0.5275590551181102,0.7913385826771654,0.6968503937007874,0.3346456692913386,0.6220472440944882,0.04330708661417323,0.0,-0.2874015748031496,0.01614173228346455
3,hour=22|state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM,624,50.061969925717676,0.9456698508944981,1.036786507921067,0.5256410256410257,0.4935897435897436,0.5176282051282052,0.6955128205128205,0.6298076923076923,0.34775641025641024,0.6362179487179487,0.011217948717948718,0.0,-0.28846153846153844,0.01610576923076923
3,hour=19|state=SWEEP_OR_FALSE_BREAK|energy=LOW,419,30.127323558825825,0.7098849746272858,0.765600021909619,0.5107398568019093,0.5059665871121718,0.5250596658711217,0.6587112171837709,0.5966587112171837,0.33890214797136037,0.6324582338902148,0.011933174224343675,0.00477326968973747,-0.29355608591885446,0.01587112171837704
3,hour=22|state=EXPANSION|energy=EXTREME,281,89.02634772770723,1.7979838502987613,1.5527014960620011,0.5338078291814946,0.5302491103202847,0.46619217081850534,0.7722419928825622,0.6654804270462633,0.3202846975088968,0.6120996441281139,0.06761565836298933,0.0,-0.2918149466192171,0.015836298932384335
3,hour=7|state=SWEEP_OR_FALSE_BREAK|energy=LOW,632,30.74894263690371,0.7112544846069017,0.8321431020499783,0.49050632911392406,0.5110759493670886,0.4920886075949367,0.7199367088607594,0.6708860759493671,0.3370253164556962,0.6518987341772152,0.007911392405063292,0.0,-0.314873417721519,0.015743670886075978
3,hour=11|state=SWEEP_OR_FALSE_BREAK|energy=LOW,417,32.32573221010505,0.6390193561109622,0.8115617214866759,0.5107913669064749,0.5227817745803357,0.486810551558753,0.6810551558752997,0.5779376498800959,0.354916067146283,0.6330935251798561,0.007194244604316547,0.004796163069544364,-0.2781774580335731,0.01546762589928058
3,hour=17|state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM,208,48.424274193784946,1.1175893257460012,0.7999608483530916,0.4567307692307692,0.46634615384615385,0.47596153846153844,0.75,0.6923076923076923,0.34134615384615385,0.6298076923076923,0.028846153846153848,0.0,-0.28846153846153844,0.015384615384615385
4,hour=15|state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|vol=HIGH,133,50.97314968335881,0.9009857898900813,1.1332122728436018,0.46616541353383456,0.5639097744360902,0.46616541353383456,0.6466165413533834,0.5789473684210527,0.3308270676691729,0.6541353383458647,0.0,0.0,-0.32330827067669177,0.015037593984962405
4,hour=23|state=NORMAL_FLOW|energy=MEDIUM|vol=LOW,217,47.54814021235885,0.9699568219336634,0.7109056950012023,0.4838709677419355,0.5161290322580645,0.5161290322580645,0.6497695852534562,0.5345622119815668,0.35944700460829493,0.6221198156682027,0.009216589861751152,0.009216589861751152,-0.2626728110599078,0.014976958525345668
2,hour=11|state=SWEEP_OR_FALSE_BREAK,1312,45.383291603098655,0.7838599054384601,0.9205865154742856,0.5121951219512195,0.510670731707317,0.5053353658536586,0.6890243902439024,0.59375,0.3559451219512195,0.635670731707317,0.006097560975609756,0.001524390243902439,-0.2797256097560975,0.014862804878048835
3,hour=2|state=ACCEPTED_BREAKOUT|energy=HIGH,414,71.68599120367652,1.3216950555732574,1.4765913834015405,0.5072463768115942,0.47101449275362317,0.4855072463768116,0.7608695652173914,0.7004830917874396,0.3357487922705314,0.6280193236714976,0.036231884057971016,0.0,-0.2922705314009662,0.014855072463768104
4,hour=8|state=NORMAL_FLOW|energy=MEDIUM|vol=HIGH,330,51.12131148890054,0.8715396111662275,1.1088862839798472,0.47575757575757577,0.5,0.5151515151515151,0.7696969696969697,0.7121212121212122,0.33636363636363636,0.6484848484848484,0.015151515151515152,0.0,-0.3121212121212121,0.014848484848484889
4,hour=7|state=SWEEP_OR_FALSE_BREAK|energy=HIGH|vol=HIGH,166,67.63737420747769,1.2909224706927587,1.1957587483026952,0.46987951807228917,0.5,0.5783132530120482,0.7409638554216867,0.6987951807228916,0.3373493975903614,0.6566265060240963,0.0,0.006024096385542169,-0.3192771084337349,0.014759036144578352
4,hour=0|state=SWEEP_OR_FALSE_BREAK|energy=VERY_LOW|vol=LOW,328,14.17627848617142,0.5083859623616086,0.616502070954826,0.5091463414634146,0.524390243902439,0.5213414634146342,0.6554878048780488,0.573170731707317,0.3323170731707317,0.625,0.009146341463414634,0.021341463414634148,-0.2926829268292683,0.014634146341463428
3,hour=20|state=ACCEPTED_BREAKOUT|energy=HIGH,352,71.83948847480114,1.276805403026937,1.5045614694689269,0.4375,0.48863636363636365,0.48011363636363635,0.7954545454545454,0.7329545454545454,0.32670454545454547,0.6335227272727273,0.03977272727272727,0.0,-0.3068181818181818,0.01448863636363637
4,hour=16|state=SWEEP_OR_FALSE_BREAK|energy=LOW|vol=NORMAL,236,31.920930515607978,0.6792968686133188,0.8892830639958191,0.5169491525423728,0.4957627118644068,0.4830508474576271,0.6313559322033898,0.5338983050847458,0.3559322033898305,0.6186440677966102,0.00423728813559322,0.00423728813559322,-0.2627118644067797,0.014406779661016944
4,hour=10|state=NORMAL_FLOW|energy=HIGH|vol=HIGH,250,67.065690605046,1.0572473524657728,1.1525165848649526,0.496,0.484,0.492,0.788,0.72,0.34,0.64,0.02,0.0,-0.3,0.01419999999999999
3,hour=12|state=NORMAL_FLOW|energy=LOW,391,32.92542704917372,0.7090408666823113,0.7484766578531697,0.5217391304347826,0.5191815856777494,0.5191815856777494,0.6572890025575447,0.5575447570332481,0.35294117647058826,0.6317135549872123,0.0,0.015345268542199489,-0.278772378516624,0.014194373401534566
3,hour=20|state=NORMAL_FLOW|energy=MEDIUM,452,49.30617522224376,0.8474520341905643,1.0049961480405725,0.497787610619469,0.4911504424778761,0.497787610619469,0.7389380530973452,0.7057522123893806,0.32964601769911506,0.6526548672566371,0.017699115044247787,0.0,-0.32300884955752207,0.01382743362831862
1,hour=2,4368,57.51685143123582,1.106147972643664,1.1992786603759888,0.5064102564102564,0.5093864468864469,0.5013736263736264,0.7616758241758241,0.6806318681318682,0.3342490842490842,0.6373626373626373,0.026327838827838828,0.00022893772893772894,-0.3031135531135531,0.013610347985347993
3,hour=2|state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM,726,50.218547077660794,0.9371947541435223,1.1145366749124483,0.5013774104683195,0.5082644628099173,0.4696969696969697,0.7465564738292011,0.6749311294765841,0.3333333333333333,0.640495867768595,0.024793388429752067,0.0,-0.3071625344352617,0.013567493112947665
3,hour=7|state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM,664,49.000744275962404,0.934864079797043,0.9998349575946366,0.4864457831325301,0.4924698795180723,0.4894578313253012,0.7198795180722891,0.6596385542168675,0.34186746987951805,0.6445783132530121,0.009036144578313253,0.0,-0.302710843373494,0.013478915662650581
2,hour=8|state=SWEEP_OR_FALSE_BREAK,1631,49.21913459586133,0.9629510533822764,1.063870172597457,0.4874310239117106,0.4984671980380135,0.4978540772532189,0.7627222562844881,0.7161250766400981,0.32679337829552424,0.6492949110974862,0.020846106683016553,0.0,-0.3225015328019619,0.013304721030042904
4,hour=10|state=EXPANSION|energy=EXTREME|vol=SPIKE_1P5,336,90.42706135348392,1.880367041889136,1.6667863503856823,0.4494047619047619,0.49404761904761907,0.47023809523809523,0.8273809523809523,0.7321428571428571,0.32142857142857145,0.6160714285714286,0.0625,0.0,-0.29464285714285715,0.013244047619047628
3,hour=19|state=NORMAL_FLOW|energy=LOW,307,32.043797937533746,0.7651042891716859,0.7007811867267822,0.511400651465798,0.5407166123778502,0.5407166123778502,0.6840390879478827,0.6188925081433225,0.3322475570032573,0.6547231270358306,0.006514657980456026,0.006514657980456026,-0.32247557003257327,0.01319218241042347
2,hour=9|state=ACCEPTED_BREAKOUT,628,74.61658027332021,1.4799074474560654,1.50841404334433,0.4968152866242038,0.4729299363057325,0.46178343949044587,0.821656050955414,0.7372611464968153,0.339171974522293,0.6289808917197452,0.03184713375796178,0.0,-0.2898089171974523,0.013136942675159219
3,hour=23|state=LOW_RANGE|energy=VERY_LOW,197,14.454871190876684,0.46046043889017163,0.6009678689032729,0.49238578680203043,0.5380710659898477,0.5786802030456852,0.6649746192893401,0.5786802030456852,0.3350253807106599,0.6395939086294417,0.005076142131979695,0.02030456852791878,-0.30456852791878175,0.012690355329949249
4,hour=3|state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|vol=NORMAL,241,49.18443147616119,0.9798961406235679,0.9156079605527108,0.5269709543568465,0.48132780082987553,0.4896265560165975,0.7468879668049793,0.6514522821576764,0.34854771784232363,0.6265560165975104,0.024896265560165973,0.0,-0.27800829875518673,0.012448132780082999
2,hour=23|state=EXPANSION,330,73.31092416722794,1.3464722540296366,1.0646833786249417,0.49696969696969695,0.5060606060606061,0.5303030303030303,0.693939393939394,0.5818181818181818,0.3575757575757576,0.6303030303030303,0.0030303030303030303,0.00909090909090909,-0.27272727272727265,0.012424242424242449
3,hour=17|state=NORMAL_FLOW|energy=LOW,521,30.87736196156305,0.771991994225918,0.5816806640471034,0.508637236084453,0.4932821497120921,0.43570057581573896,0.708253358925144,0.6487523992322457,0.32437619961612285,0.6295585412667947,0.046065259117082535,0.0,-0.3051823416506718,0.012380038387715925
3,hour=9|state=EXPANSION|energy=HIGH,593,72.50665675471626,1.2431795923683493,1.2873108106145406,0.48903878583473864,0.4924114671163575,0.4974704890387858,0.8111298482293423,0.730185497470489,0.3220910623946037,0.627318718381113,0.048903878583473864,0.0,-0.30522765598650925,0.011973018549747055
3,hour=8|state=EXPANSION|energy=EXTREME,210,87.9759477528312,1.7123178544174193,1.4535349962097506,0.4523809523809524,0.4857142857142857,0.4714285714285714,0.7714285714285715,0.6761904761904762,0.3476190476190476,0.6333333333333333,0.01904761904761905,0.0,-0.2857142857142857,0.011904761904761918
2,hour=8|state=EXPANSION,434,78.38727320880608,1.442280495343508,1.2908508929473428,0.45161290322580644,0.49078341013824883,0.5023041474654378,0.7695852534562212,0.6797235023041475,0.3433179723502304,0.6359447004608295,0.018433179723502304,0.0,-0.2926267281105991,0.011751152073732701
4,hour=1|state=SWEEP_OR_FALSE_BREAK|energy=LOW|vol=NORMAL,250,31.99106491670283,0.7104084489629194,0.8814096754631757,0.524,0.504,0.52,0.716,0.692,0.32,0.66,0.016,0.004,-0.34,0.0116
4,hour=15|state=LOW_RANGE|energy=LOW|vol=NORMAL,125,28.944066154456046,0.515624708589407,0.8826706383741152,0.496,0.504,0.56,0.656,0.56,0.344,0.624,0.016,0.016,-0.28,0.0116
2,hour=21|state=NORMAL_FLOW,884,55.30656378354503,0.935728667758691,1.1692489735024405,0.5101809954751131,0.502262443438914,0.5067873303167421,0.7613122171945701,0.7002262443438914,0.3190045248868778,0.6391402714932126,0.03506787330316742,0.0,-0.3201357466063348,0.01119909502262445
