state_dna_macro,next_state,anchor_market_state,next_market_state,event_group,next_event_group,count,state_total,transition_pct
state=NORMAL_FLOW|energy=LOW|align=MIXED/DOWN|level=AT_SUPPORT|event=BREAKOUT,state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=NONE/MIXED|level=AT_RESISTANCE|event=FALSE_BREAK,NORMAL_FLOW,SWEEP_OR_FALSE_BREAK,BREAKOUT,FALSE_BREAK,49,665,0.07368421052631578
state=NORMAL_FLOW|energy=MEDIUM|align=MIXED/UP|level=AT_RESISTANCE|event=BREAKOUT,state=NORMAL_FLOW|energy=MEDIUM|align=MIXED/UP|level=AT_RESISTANCE|event=BREAKOUT,NORMAL_FLOW,NORMAL_FLOW,BREAKOUT,BREAKOUT,104,1412,0.07365439093484419
state=NORMAL_FLOW|energy=MEDIUM|align=FULL/DOWN|level=NEAR_SUPPORT|event=BREAKOUT,state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=MIXED/DOWN|level=AT_SUPPORT|event=FALSE_BREAK,NORMAL_FLOW,SWEEP_OR_FALSE_BREAK,BREAKOUT,FALSE_BREAK,31,421,0.07363420427553444
state=NORMAL_FLOW|energy=LOW|align=NONE/MIXED|level=AT_RESISTANCE|event=BREAKOUT,state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=MIXED/DOWN|level=AT_SUPPORT|event=FALSE_BREAK,NORMAL_FLOW,SWEEP_OR_FALSE_BREAK,BREAKOUT,FALSE_BREAK,40,549,0.07285974499089254
state=NORMAL_FLOW|energy=LOW|align=MIXED/UP|level=AT_RESISTANCE|event=BREAKOUT,state=NORMAL_FLOW|energy=MEDIUM|align=MIXED/UP|level=AT_RESISTANCE|event=BREAKOUT,NORMAL_FLOW,NORMAL_FLOW,BREAKOUT,BREAKOUT,58,803,0.0722291407222914
state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|align=FULL/DOWN|level=AT_SUPPORT|event=FALSE_BREAK,state=NORMAL_FLOW|energy=MEDIUM|align=FULL/DOWN|level=AT_SUPPORT|event=BREAKOUT,SWEEP_OR_FALSE_BREAK,NORMAL_FLOW,FALSE_BREAK,BREAKOUT,66,928,0.07112068965517242
state=ACCEPTED_BREAKOUT|energy=HIGH|align=MIXED/DOWN|level=AT_SUPPORT|event=BREAKOUT,state=ACCEPTED_BREAKOUT|energy=HIGH|align=MIXED/DOWN|level=AT_SUPPORT|event=BREAKOUT,ACCEPTED_BREAKOUT,ACCEPTED_BREAKOUT,BREAKOUT,BREAKOUT,34,479,0.0709812108559499
state=NORMAL_FLOW|energy=MEDIUM|align=MIXED/DOWN|level=NEAR_SUPPORT|event=BREAKOUT,state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=NONE/MIXED|level=AT_SUPPORT|event=FALSE_BREAK,NORMAL_FLOW,SWEEP_OR_FALSE_BREAK,BREAKOUT,FALSE_BREAK,32,451,0.07095343680709534
state=NORMAL_FLOW|energy=HIGH|align=MIXED/UP|level=AT_RESISTANCE|event=BREAKOUT,state=NORMAL_FLOW|energy=MEDIUM|align=MIXED/UP|level=AT_RESISTANCE|event=BREAKOUT,NORMAL_FLOW,NORMAL_FLOW,BREAKOUT,BREAKOUT,36,508,0.07086614173228346
state=ACCEPTED_BREAKOUT|energy=HIGH|align=FULL/DOWN|level=AT_SUPPORT|event=BREAKOUT,state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|align=MIXED/DOWN|level=AT_SUPPORT|event=FALSE_BREAK,ACCEPTED_BREAKOUT,SWEEP_OR_FALSE_BREAK,BREAKOUT,FALSE_BREAK,53,749,0.07076101468624833
state=NORMAL_FLOW|energy=HIGH|align=FULL/DOWN|level=AT_SUPPORT|event=BREAKOUT,state=NORMAL_FLOW|energy=MEDIUM|align=FULL/DOWN|level=AT_SUPPORT|event=BREAKOUT,NORMAL_FLOW,NORMAL_FLOW,BREAKOUT,BREAKOUT,58,823,0.07047387606318348
state=NORMAL_FLOW|energy=HIGH|align=MIXED/DOWN|level=AT_SUPPORT|event=BREAKOUT,state=NORMAL_FLOW|energy=MEDIUM|align=MIXED/DOWN|level=AT_SUPPORT|event=BREAKOUT,NORMAL_FLOW,NORMAL_FLOW,BREAKOUT,BREAKOUT,35,498,0.07028112449799197
state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|align=FULL/UP|level=AT_RESISTANCE|event=FALSE_BREAK,state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|align=FULL/UP|level=AT_RESISTANCE|event=FALSE_BREAK,SWEEP_OR_FALSE_BREAK,SWEEP_OR_FALSE_BREAK,FALSE_BREAK,FALSE_BREAK,76,1087,0.06991720331186753
state=EXPANSION|energy=HIGH|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,state=EXPANSION|energy=EXTREME|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,EXPANSION,EXPANSION,BREAKOUT,BREAKOUT,42,603,0.06965174129353234
state=NORMAL_FLOW|energy=LOW|align=NONE/MIXED|level=AT_RESISTANCE|event=BREAKOUT,state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=MIXED/DOWN|level=AT_RESISTANCE|event=FALSE_BREAK,NORMAL_FLOW,SWEEP_OR_FALSE_BREAK,BREAKOUT,FALSE_BREAK,38,549,0.0692167577413479
state=NORMAL_FLOW|energy=MEDIUM|align=MIXED/DOWN|level=NEAR_SUPPORT|event=BREAKOUT,state=NORMAL_FLOW|energy=LOW|align=MIXED/DOWN|level=AT_SUPPORT|event=BREAKOUT,NORMAL_FLOW,NORMAL_FLOW,BREAKOUT,BREAKOUT,31,451,0.06873614190687362
state=NORMAL_FLOW|energy=MEDIUM|align=MIXED/UP|level=NEAR_RESISTANCE|event=BREAKOUT,state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=NONE/MIXED|level=AT_RESISTANCE|event=FALSE_BREAK,NORMAL_FLOW,SWEEP_OR_FALSE_BREAK,BREAKOUT,FALSE_BREAK,34,497,0.06841046277665996
state=NORMAL_FLOW|energy=LOW|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=FULL/UP|level=AT_RESISTANCE|event=FALSE_BREAK,NORMAL_FLOW,SWEEP_OR_FALSE_BREAK,BREAKOUT,FALSE_BREAK,69,1017,0.06784660766961652
state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=MIXED/UP|level=AT_SUPPORT|event=FALSE_BREAK,state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=FULL/UP|level=AT_RESISTANCE|event=FALSE_BREAK,SWEEP_OR_FALSE_BREAK,SWEEP_OR_FALSE_BREAK,FALSE_BREAK,FALSE_BREAK,57,842,0.06769596199524941
state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=FULL/UP|level=AT_RESISTANCE|event=FALSE_BREAK,state=NORMAL_FLOW|energy=LOW|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,SWEEP_OR_FALSE_BREAK,NORMAL_FLOW,FALSE_BREAK,BREAKOUT,78,1169,0.06672369546621043
state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=NONE/MIXED|level=AT_SUPPORT|event=FALSE_BREAK,state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=MIXED/UP|level=AT_RESISTANCE|event=FALSE_BREAK,SWEEP_OR_FALSE_BREAK,SWEEP_OR_FALSE_BREAK,FALSE_BREAK,FALSE_BREAK,92,1382,0.06657018813314038
state=LOW_RANGE|energy=LOW|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=FULL/UP|level=AT_RESISTANCE|event=FALSE_BREAK,LOW_RANGE,SWEEP_OR_FALSE_BREAK,BREAKOUT,FALSE_BREAK,31,472,0.06567796610169492
state=NORMAL_FLOW|energy=MEDIUM|align=NONE/MIXED|level=AT_SUPPORT|event=BREAKOUT,state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|align=MIXED/UP|level=AT_RESISTANCE|event=FALSE_BREAK,NORMAL_FLOW,SWEEP_OR_FALSE_BREAK,BREAKOUT,FALSE_BREAK,56,858,0.06526806526806526
state=NORMAL_FLOW|energy=MEDIUM|align=FULL/UP|level=NEAR_RESISTANCE|event=BREAKOUT,state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=MIXED/UP|level=AT_RESISTANCE|event=FALSE_BREAK,NORMAL_FLOW,SWEEP_OR_FALSE_BREAK,BREAKOUT,FALSE_BREAK,31,477,0.0649895178197065
state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=FULL/DOWN|level=AT_SUPPORT|event=FALSE_BREAK,state=NORMAL_FLOW|energy=LOW|align=FULL/DOWN|level=AT_SUPPORT|event=BREAKOUT,SWEEP_OR_FALSE_BREAK,NORMAL_FLOW,FALSE_BREAK,BREAKOUT,47,724,0.0649171270718232
state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|align=MIXED/UP|level=AT_SUPPORT|event=FALSE_BREAK,state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|align=FULL/UP|level=AT_RESISTANCE|event=FALSE_BREAK,SWEEP_OR_FALSE_BREAK,SWEEP_OR_FALSE_BREAK,FALSE_BREAK,FALSE_BREAK,45,696,0.06465517241379311
state=NORMAL_FLOW|energy=HIGH|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,state=NORMAL_FLOW|energy=HIGH|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,NORMAL_FLOW,NORMAL_FLOW,BREAKOUT,BREAKOUT,66,1035,0.06376811594202898
state=ACCEPTED_BREAKOUT|energy=HIGH|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|align=MIXED/UP|level=AT_RESISTANCE|event=FALSE_BREAK,ACCEPTED_BREAKOUT,SWEEP_OR_FALSE_BREAK,BREAKOUT,FALSE_BREAK,55,866,0.06351039260969978
state=ACCEPTED_BREAKOUT|energy=HIGH|align=MIXED/DOWN|level=AT_SUPPORT|event=BREAKOUT,state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|align=NONE/MIXED|level=AT_SUPPORT|event=FALSE_BREAK,ACCEPTED_BREAKOUT,SWEEP_OR_FALSE_BREAK,BREAKOUT,FALSE_BREAK,30,479,0.06263048016701461
state=SWEEP_OR_FALSE_BREAK|energy=VERY_LOW|align=MIXED/UP|level=AT_RESISTANCE|event=FALSE_BREAK,state=SWEEP_OR_FALSE_BREAK|energy=VERY_LOW|align=MIXED/UP|level=AT_RESISTANCE|event=FALSE_BREAK,SWEEP_OR_FALSE_BREAK,SWEEP_OR_FALSE_BREAK,FALSE_BREAK,FALSE_BREAK,37,591,0.06260575296108291
state=NORMAL_FLOW|energy=LOW|align=MIXED/UP|level=AT_RESISTANCE|event=BREAKOUT,state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=NONE/MIXED|level=AT_RESISTANCE|event=FALSE_BREAK,NORMAL_FLOW,SWEEP_OR_FALSE_BREAK,BREAKOUT,FALSE_BREAK,50,803,0.062266500622665005
