side,entry,stop,target,exit_price,pnl_points,pnl_r,mfe_points,mae_points,exit_reason,exit_time,signal_time,entry_time,fast,mid,slow,stop_atr,target_atr,max_hold_minutes,m15_mode,m5_mode,max_entry_candle_atr,max_distance_slow_atr
BUY,4187.16,4183.5908,4191.79996,4191.79996,4.63996,1.3,7.22,2.59,TARGET,2026-07-05 22:32:00,2026-07-05 22:26:00,2026-07-05 22:27:00,4,29,77,1.0,1.3,15,required,closed_all,0.8,2.0
BUY,4189.71,4186.19819,4194.27535,4194.27535,4.56535,1.3,4.67,2.34,TARGET,2026-07-05 22:32:00,2026-07-05 22:29:00,2026-07-05 22:30:00,4,29,77,1.0,1.3,15,required,closed_all,0.8,2.0
BUY,4190.51,4187.0141,4195.05467,4195.05467,4.54467,1.3,7.26,1.33,TARGET,2026-07-05 22:34:00,2026-07-05 22:31:00,2026-07-05 22:32:00,4,29,77,1.0,1.3,15,required,closed_all,0.8,2.0
BUY,4162.57,4161.669,4163.74131,4163.74131,1.17131,1.3,1.19,0.62,TARGET,2026-07-06 16:49:00,2026-07-06 16:46:00,2026-07-06 16:47:00,4,29,77,1.0,1.3,15,required,closed_all,0.8,2.0
BUY,4162.96,4162.28885,4163.83249,4163.83249,0.87249,1.3,1.44,0.59,TARGET,2026-07-06 17:33:00,2026-07-06 17:28:00,2026-07-06 17:29:00,4,29,77,1.0,1.3,15,required,closed_all,0.8,2.0
BUY,4163.33,4162.73637,4164.10171,4164.10171,0.77171,1.3,0.82,0.2,TARGET,2026-07-06 17:51:00,2026-07-06 17:47:00,2026-07-06 17:48:00,4,29,77,1.0,1.3,15,required,closed_all,0.8,2.0
BUY,4170.2,4167.08761,4174.2461,4167.08761,-3.11239,-1.0,2.2,4.81,STOP,2026-07-07 10:24:00,2026-07-07 10:16:00,2026-07-07 10:17:00,4,29,77,1.0,1.3,15,required,closed_all,0.8,2.0
BUY,4127.19,4125.04332,4129.98069,4129.98069,2.79069,1.3,2.97,0.59,TARGET,2026-07-08 02:38:00,2026-07-08 02:36:00,2026-07-08 02:37:00,4,29,77,1.0,1.3,15,required,closed_all,0.8,2.0
BUY,4128.26,4126.14808,4131.0055,4131.0055,2.7455,1.3,2.82,1.7,TARGET,2026-07-08 02:42:00,2026-07-08 02:37:00,2026-07-08 02:38:00,4,29,77,1.0,1.3,15,required,closed_all,0.8,2.0
BUY,4129.73,4127.57404,4132.53275,4127.57404,-2.15596,-1.0,1.89,2.62,STOP,2026-07-08 02:47:00,2026-07-08 02:41:00,2026-07-08 02:42:00,4,29,77,1.0,1.3,15,required,closed_all,0.8,2.0
BUY,4128.02,4126.13207,4130.47431,4126.13207,-1.88793,-1.0,1.17,3.48,STOP,2026-07-08 03:02:00,2026-07-08 02:56:00,2026-07-08 02:57:00,4,29,77,1.0,1.3,15,required,closed_all,0.8,2.0
BUY,4130.85,4128.81034,4133.50155,4133.50155,2.65155,1.3,2.66,0.99,TARGET,2026-07-08 03:24:00,2026-07-08 03:21:00,2026-07-08 03:22:00,4,29,77,1.0,1.3,15,required,closed_all,0.8,2.0
BUY,4185.64,4180.92712,4189.26529,4189.26529,3.62529,0.76923,4.02,1.32,TARGET,2026-07-05 22:28:00,2026-07-05 22:25:00,2026-07-05 22:26:00,8,25,96,1.3,1.0,10,required,closed_all,0.8,1.2
BUY,4187.16,4182.52004,4190.7292,4190.7292,3.5692,0.76923,4.41,2.59,TARGET,2026-07-05 22:30:00,2026-07-05 22:26:00,2026-07-05 22:27:00,8,25,96,1.3,1.0,10,required,closed_all,0.8,1.2
BUY,4128.89,4124.32046,4131.74596,4131.74596,2.85596,0.625,6.43,2.32,TARGET,2026-07-02 21:13:00,2026-07-02 21:09:00,2026-07-02 21:10:00,6,28,86,1.6,1.0,20,warning_only,closed_all,1.2,1.2
BUY,4173.66,4170.58427,4175.58233,4175.58233,1.92233,0.625,3.09,0.53,TARGET,2026-07-03 04:05:00,2026-07-03 04:03:00,2026-07-03 04:04:00,6,28,86,1.6,1.0,20,warning_only,closed_all,1.2,1.2
BUY,4187.79,4181.2841,4191.85619,4191.85619,4.06619,0.625,4.99,0.85,TARGET,2026-07-05 22:16:00,2026-07-05 22:13:00,2026-07-05 22:14:00,6,28,86,1.6,1.0,20,warning_only,closed_all,1.2,1.2
BUY,4185.64,4179.83953,4189.26529,4189.26529,3.62529,0.625,4.02,1.32,TARGET,2026-07-05 22:28:00,2026-07-05 22:25:00,2026-07-05 22:26:00,6,28,86,1.6,1.0,20,warning_only,closed_all,1.2,1.2
BUY,4187.16,4181.44928,4190.7292,4190.7292,3.5692,0.625,4.41,2.59,TARGET,2026-07-05 22:30:00,2026-07-05 22:26:00,2026-07-05 22:27:00,6,28,86,1.6,1.0,20,warning_only,closed_all,1.2,1.2
BUY,4188.14,4182.42919,4191.70926,4191.70926,3.56926,0.625,6.24,2.27,TARGET,2026-07-05 22:32:00,2026-07-05 22:27:00,2026-07-05 22:28:00,6,28,86,1.6,1.0,20,warning_only,closed_all,1.2,1.2
BUY,4155.65,4153.41317,4157.04802,4157.04802,1.39802,0.625,1.72,1.93,TARGET,2026-07-06 09:02:00,2026-07-06 08:59:00,2026-07-06 09:00:00,6,28,86,1.6,1.0,20,warning_only,closed_all,1.2,1.2
BUY,4161.96,4160.32887,4162.97946,4162.97946,1.01946,0.625,1.28,0.57,TARGET,2026-07-06 16:29:00,2026-07-06 16:23:00,2026-07-06 16:24:00,6,28,86,1.6,1.0,20,warning_only,closed_all,1.2,1.2
BUY,4108.98,4104.75303,4111.62185,4111.62185,2.64185,0.625,3.24,0.87,TARGET,2026-07-07 23:06:00,2026-07-07 23:05:00,2026-07-07 23:06:00,6,28,86,1.6,1.0,20,warning_only,closed_all,1.2,1.2
BUY,4126.3,4123.54652,4128.02093,4128.02093,1.72093,0.625,1.85,1.93,TARGET,2026-07-08 01:32:00,2026-07-08 01:27:00,2026-07-08 01:28:00,6,28,86,1.6,1.0,20,warning_only,closed_all,1.2,1.2
