law_id,law_name,side,dimension,segment,base_edge,segment_edge_delta,segment_status,full_bars,full_valid,full_tp_rate,full_sl_rate,full_edge,full_edge_ci_low,full_edge_ci_high,full_no_touch_rate,full_ambiguous_rate,full_reach_1atr,full_pullback_0p50,oos_bars,oos_valid,oos_tp_rate,oos_sl_rate,oos_edge,oos_edge_ci_low,oos_edge_ci_high,oos_no_touch_rate,oos_ambiguous_rate,oos_reach_1atr,oos_pullback_0p50
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,18,0.5168776371308017,-0.7168776371308017,INSUFFICIENT,5,5,0.4,0.6,-0.2,-1.1601999791710058,0.7601999791710059,0.0,0.0,0.4,1.0,2,2,0.5,0.5,0.0,-1.96,1.96,0.0,0.0,0.0,1.0
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,9,0.5168776371308017,0.030741410488245968,STABLE,42,42,0.7380952380952381,0.19047619047619047,0.5476190476190477,0.30491298452557936,0.790325110712516,0.0,0.07142857142857142,0.4523809523809524,0.9523809523809523,13,13,0.6923076923076923,0.23076923076923078,0.46153846153846156,-0.015235708763847944,0.9383126318407711,0.0,0.07692307692307693,0.46153846153846156,0.8461538461538461
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,3,0.5168776371308017,-0.005766526019690632,STABLE,45,45,0.7555555555555555,0.24444444444444444,0.5111111111111111,0.2571407619134046,0.7650814603088175,0.0,0.0,0.15555555555555556,0.9555555555555556,14,14,0.7857142857142857,0.21428571428571427,0.5714285714285714,0.12531716761178407,1.0175399752453587,0.0,0.0,0.07142857142857142,0.9285714285714286
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,16,0.5168776371308017,-0.03960490985807441,STABLE,44,44,0.7272727272727273,0.25,0.4772727272727273,0.2185093127241829,0.7360361418212717,0.022727272727272728,0.0,0.11363636363636363,0.9772727272727273,15,15,0.8,0.2,0.6,0.1809343726813185,1.0190656273186813,0.0,0.0,0.06666666666666667,1.0
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,20,0.5168776371308017,0.2273084093808262,STRONGER,43,43,0.8604651162790697,0.11627906976744186,0.7441860465116279,0.5475032624632695,0.9408688305599863,0.0,0.023255813953488372,0.32558139534883723,0.9069767441860465,13,13,0.9230769230769231,0.07692307692307693,0.8461538461538461,0.5446153846153846,1.1476923076923078,0.0,0.0,0.23076923076923078,0.9230769230769231
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,0,0.5168776371308017,0.1974080771549126,STRONGER,42,42,0.8333333333333334,0.11904761904761904,0.7142857142857143,0.5107399103276296,0.917831518243799,0.023809523809523808,0.023809523809523808,0.11904761904761904,0.9523809523809523,14,14,0.7857142857142857,0.14285714285714285,0.6428571428571429,0.2526303843218996,1.0330839013923863,0.07142857142857142,0.0,0.2857142857142857,0.9285714285714286
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,15,0.5168776371308017,0.16494054468738006,STRONGER,44,44,0.8409090909090909,0.1590909090909091,0.6818181818181818,0.4631684017777179,0.9004679618586456,0.0,0.0,0.20454545454545456,0.9090909090909091,19,19,0.8421052631578947,0.15789473684210525,0.6842105263157895,0.3472982529224542,1.0211227997091248,0.0,0.0,0.15789473684210525,0.8421052631578947
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,10,0.5168776371308017,0.08728902953586493,STRONGER,48,48,0.7708333333333334,0.16666666666666666,0.6041666666666666,0.387850836418218,0.8204824969151152,0.0,0.0625,0.1875,1.0,15,15,0.8,0.13333333333333333,0.6666666666666666,0.30040021842015985,1.0329331149131735,0.0,0.06666666666666667,0.0,1.0
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,6,0.5168776371308017,-0.2342689414786278,WEAKER,46,46,0.6304347826086957,0.34782608695652173,0.2826086956521739,0.005670383355959929,0.5595470079483879,0.0,0.021739130434782608,0.2391304347826087,0.9347826086956522,16,16,0.625,0.375,0.25,-0.24,0.74,0.0,0.0,0.25,0.9375
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,19,0.5168776371308017,-0.3276884479416125,WEAKER,74,74,0.5675675675675675,0.3783783783783784,0.1891891891891892,-0.029663525671296653,0.40804190404967505,0.0,0.05405405405405406,0.5405405405405406,0.8513513513513513,18,18,0.5555555555555556,0.3888888888888889,0.16666666666666666,-0.2884652900659008,0.6217986233992342,0.0,0.05555555555555555,0.5555555555555556,0.8888888888888888
