event_name,hour,anchor_market_state,energy_bucket,mtf_alignment_bucket,mtf_bias,bars,avg_energy,avg_range_atr,continuation_h3,continuation_h6,pullback_0p50_h6,reach_1atr_h12,rr_tp,rr_sl,rr_edge
FALSE_BREAK,5,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,191,31.779284770913783,0.7203524084538535,0.4083769633507853,0.46596858638743455,0.7486910994764397,0.518324607329843,0.2670157068062827,0.7329842931937173,-0.46596858638743455
FALSE_BREAK,20,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,145,50.4372170300624,0.8839743604210551,0.4413793103448276,0.3931034482758621,0.8689655172413793,0.6137931034482759,0.2482758620689655,0.7172413793103448,-0.4689655172413793
FALSE_BREAK,12,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,247,31.24254274635628,0.6417223319773813,0.4493927125506073,0.3967611336032389,0.7368421052631579,0.4291497975708502,0.2550607287449393,0.728744939271255,-0.47368421052631576
FALSE_BREAK,13,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,135,47.74436632107968,0.8725197784194422,0.4222222222222222,0.4,0.7777777777777778,0.45925925925925926,0.2518518518518518,0.725925925925926,-0.47407407407407415
FALSE_BREAK,21,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,DOWN,139,51.29103874721434,0.889515900809887,0.3669064748201439,0.381294964028777,0.8129496402877698,0.6258992805755396,0.22302158273381295,0.697841726618705,-0.4748201438848921
FALSE_BREAK,21,SWEEP_OR_FALSE_BREAK,HIGH,NONE,MIXED,147,68.73284469450702,1.29992393400276,0.43537414965986393,0.4217687074829932,0.8571428571428571,0.6802721088435374,0.25170068027210885,0.7278911564625851,-0.4761904761904762
FALSE_BREAK,22,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,142,49.69921122946075,0.9569825366583983,0.4859154929577465,0.4014084507042254,0.7676056338028169,0.5633802816901409,0.2535211267605634,0.7323943661971831,-0.47887323943661975
FALSE_BREAK,8,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,127,32.084316904236395,0.7021669472539694,0.4330708661417323,0.4251968503937008,0.8346456692913385,0.6614173228346457,0.2440944881889764,0.7244094488188977,-0.4803149606299213
FALSE_BREAK,9,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,UP,162,51.00362563977758,0.909470447351953,0.41358024691358025,0.4567901234567901,0.8518518518518519,0.6975308641975309,0.24074074074074073,0.7222222222222222,-0.4814814814814815
FALSE_BREAK,4,SWEEP_OR_FALSE_BREAK,LOW,MIXED,UP,149,30.781113876176896,0.7254125968894931,0.3959731543624161,0.436241610738255,0.7986577181208053,0.5637583892617449,0.2483221476510067,0.7315436241610739,-0.4832214765100672
FALSE_BREAK,5,SWEEP_OR_FALSE_BREAK,LOW,MIXED,UP,155,31.222864275270666,0.7018790905257427,0.3870967741935484,0.4258064516129032,0.7548387096774194,0.49032258064516127,0.25161290322580643,0.7419354838709677,-0.4903225806451613
FALSE_BREAK,6,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,189,30.34334104734286,0.6886350321385731,0.4497354497354497,0.4021164021164021,0.8148148148148148,0.5555555555555556,0.25396825396825395,0.746031746031746,-0.4920634920634921
BREAKOUT,12,NORMAL_FLOW,MEDIUM,MIXED,DOWN,121,49.32780015459196,0.8695412860061168,0.3884297520661157,0.3884297520661157,0.7603305785123967,0.4297520661157025,0.24793388429752067,0.743801652892562,-0.4958677685950413
FALSE_BREAK,14,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,215,29.33642750283336,0.6493233699995884,0.4,0.4,0.7255813953488373,0.413953488372093,0.25116279069767444,0.7488372093023256,-0.4976744186046511
FALSE_BREAK,7,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,196,30.50811468684291,0.6979448721900278,0.4030612244897959,0.4387755102040816,0.8214285714285714,0.6071428571428571,0.24489795918367346,0.7448979591836735,-0.5
