hour,anchor_market_state,energy_bucket,mtf_alignment_bucket,mtf_bias,event_name,zone,bars,avg_energy,avg_range_atr,avg_vol_ratio,breakout_pct,false_break_pct,sweep_pct,buy_tp,buy_sl,buy_edge,sell_tp,sell_sl,sell_edge,buy_fast_tp,buy_fast_sl,buy_fast_edge,sell_fast_tp,sell_fast_sl,sell_fast_edge,best_side,edge_delta_buy_minus_sell,level_guidance
14,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,FALSE_BREAK,RESISTANCE,199,29.401543205006696,0.6536842205882325,0.8350206018745749,0.0,1.0,0.9949748743718593,0.271356783919598,0.7185929648241206,-0.4472361809045226,0.3969849246231156,0.5979899497487438,-0.20100502512562818,0.3165829145728643,0.6231155778894473,-0.30653266331658297,0.33668341708542715,0.6130653266331658,-0.27638190954773867,SELL,-0.24623115577889443,rejeição favorece venda; evitar comprar topo esticado
11,EXPANSION,EXTREME,FULL,DOWN,BREAKOUT,SUPPORT,133,87.91020001197207,1.8865704682196738,1.332151810274807,1.0,0.12781954887218044,0.12781954887218044,0.2556390977443609,0.6992481203007519,-0.443609022556391,0.3609022556390977,0.5488721804511278,-0.18796992481203012,0.21052631578947367,0.49624060150375937,-0.2857142857142857,0.3007518796992481,0.37593984962406013,-0.07518796992481203,SELL,-0.2556390977443609,rompimento favorece venda; esperar aceitação abaixo
21,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,FALSE_BREAK,RESISTANCE,151,51.94072788248654,0.8913347122559416,1.235801759785576,0.0,1.0,1.0,0.2251655629139073,0.7350993377483444,-0.509933774834437,0.3509933774834437,0.6026490066225165,-0.2516556291390728,0.23178807947019867,0.543046357615894,-0.3112582781456954,0.2847682119205298,0.47019867549668876,-0.18543046357615894,SELL,-0.2582781456953642,rejeição favorece venda; evitar comprar topo esticado
6,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,FALSE_BREAK,RESISTANCE,166,30.113665222360517,0.6822870228687943,0.806564054893445,0.0,1.0,0.9939759036144579,0.26506024096385544,0.7289156626506024,-0.4638554216867469,0.39759036144578314,0.6024096385542169,-0.20481927710843378,0.2891566265060241,0.5783132530120482,-0.2891566265060241,0.2891566265060241,0.6204819277108434,-0.33132530120481934,SELL,-0.25903614457831314,rejeição favorece venda; evitar comprar topo esticado
5,SWEEP_OR_FALSE_BREAK,LOW,NONE,MIXED,FALSE_BREAK,RESISTANCE,166,31.520241062365184,0.7203370141669572,0.8394618065575329,0.0,1.0,1.0,0.2710843373493976,0.7228915662650602,-0.45180722891566266,0.39759036144578314,0.5903614457831325,-0.1927710843373494,0.24096385542168675,0.6746987951807228,-0.4337349397590361,0.3373493975903614,0.5783132530120482,-0.24096385542168675,SELL,-0.25903614457831325,rejeição favorece venda; evitar comprar topo esticado
2,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,FALSE_BREAK,RESISTANCE,161,49.49791320549451,0.8855553292647669,1.1262878116502375,0.0,1.0,0.9937888198757764,0.2608695652173913,0.7391304347826086,-0.47826086956521735,0.38509316770186336,0.6024844720496895,-0.2173913043478261,0.2608695652173913,0.5900621118012422,-0.32919254658385094,0.3105590062111801,0.4968944099378882,-0.1863354037267081,SELL,-0.26086956521739124,rejeição favorece venda; evitar comprar topo esticado
4,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,FALSE_BREAK,RESISTANCE,149,48.82146187186291,0.9582964299204946,1.0217543360508063,0.0,1.0,1.0,0.2348993288590604,0.7583892617449665,-0.5234899328859061,0.3691275167785235,0.6174496644295302,-0.24832214765100669,0.22818791946308725,0.6241610738255033,-0.3959731543624161,0.3422818791946309,0.47651006711409394,-0.13422818791946306,SELL,-0.2751677852348994,rejeição favorece venda; evitar comprar topo esticado
11,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,FALSE_BREAK,RESISTANCE,134,49.84297883895798,0.8283171095919244,0.9456373051727448,0.0,1.0,1.0,0.23880597014925373,0.7611940298507462,-0.5223880597014925,0.39552238805970147,0.6044776119402985,-0.208955223880597,0.2462686567164179,0.6417910447761194,-0.39552238805970147,0.3582089552238806,0.5223880597014925,-0.16417910447761191,SELL,-0.3134328358208955,rejeição favorece venda; evitar comprar topo esticado
8,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,FALSE_BREAK,RESISTANCE,159,50.291044263986166,0.9315809590368773,1.0833694246597763,0.0,1.0,1.0,0.2578616352201258,0.7295597484276729,-0.4716981132075471,0.41509433962264153,0.5660377358490566,-0.15094339622641506,0.2578616352201258,0.5849056603773585,-0.3270440251572327,0.3270440251572327,0.49056603773584906,-0.16352201257861637,SELL,-0.32075471698113206,rejeição favorece venda; evitar comprar topo esticado
15,SWEEP_OR_FALSE_BREAK,LOW,MIXED,DOWN,FALSE_BREAK,SUPPORT,145,29.37488049855945,0.6793232339814754,0.8134330834834043,0.0,1.0,1.0,0.2482758620689655,0.7448275862068966,-0.4965517241379311,0.41379310344827586,0.5862068965517241,-0.17241379310344823,0.2896551724137931,0.6482758620689655,-0.35862068965517235,0.3931034482758621,0.5586206896551724,-0.16551724137931034,SELL,-0.32413793103448285,rompimento favorece venda; esperar aceitação abaixo
