timeframe,pattern_type,breakout_side,higher_tf_context,sample_size,false_breakout_rate,retest_rate,avg_quality,avg_breakout_atr,aligned_rate,near_obstacle_rate,avg_available_space_atr,success_rate_3,avg_mfe_3_atr,avg_mae_3_atr,avg_return_3_atr,success_rate_6,avg_mfe_6_atr,avg_mae_6_atr,avg_return_6_atr,success_rate_12,avg_mfe_12_atr,avg_mae_12_atr,avg_return_12_atr
M1,TRIANGLE_DESCENDING,UP,NO_NEAR_HTF_ZONE,1,0.0,0.0,43.57529873069782,0.6673326481048186,0.0,0.0,,1.0,1.3178280915763823,0.34652053403996114,1.0868144022165673,1.0,3.3864506735729987,0.34652053403996114,1.9111132483419584,1.0,3.963984896973013,0.34652053403996114,2.4256437382802054
M15,TRIANGLE_DESCENDING,UP,HTF_ZONE_ALIGNMENT_CLEAR_SPACE,1,1.0,1.0,36.39344837658502,0.21806017474556577,1.0,0.0,,0.0,0.17554582896258106,1.6983362341707353,-1.0964648205843266,0.0,0.17554582896258106,2.011810928746945,-1.4740276749405663,0.0,0.17554582896258106,2.011810928746945,-0.015325429512695787
M15,TRIANGLE_ASCENDING,UP,HTF_ZONE_ALIGNMENT_CLEAR_SPACE,1,1.0,1.0,48.975125454910476,0.6161140535955103,1.0,0.0,,0.0,0.373032286352478,0.9807139141199662,-0.8694058931922648,0.0,0.373032286352478,0.9807139141199662,0.03609989867936915,0.0,0.8242810198432927,0.9807139141199662,0.7400479229249471
M1,TRIANGLE_DESCENDING,DOWN,STRUCTURAL_OBSTACLE_AHEAD,1,0.0,0.0,36.65282303619502,1.6590277762725696,0.0,1.0,0.6580833892024989,0.0,0.313272670762236,0.9398180122870555,-0.0573059763590007,0.0,0.313272670762236,1.0353279728853322,-0.6685697241879361,0.0,0.313272670762236,2.9035028021877474,-2.7315848731107453
M5,TRIANGLE_ASCENDING,UP,INSIDE_HTF_CANDLE_RANGE,1,0.0,1.0,50.28736239018801,0.22413317093468577,0.0,1.0,0.7295486579124778,1.0,0.837545664134653,0.11263545138358544,0.6093866728704032,1.0,1.3169683546392594,0.11263545138358544,0.8490980181227062,1.0,1.7328530982095725,0.11263545138358544,1.4469323370050562
M5,TRIANGLE_DESCENDING,UP,HTF_ZONE_ALIGNMENT_CLEAR_SPACE,1,1.0,1.0,39.90776460087386,0.9016302168877601,1.0,0.0,,0.0,0.06136816551457359,1.4337835033843782,-0.6499446620399386,0.0,0.06136816551457359,1.4337835033843782,-1.0906796689168003,0.0,0.08926278620283162,1.4337835033843782,-0.32636706205442023
M5,TRIANGLE_DESCENDING,DOWN,INSIDE_HTF_CANDLE_RANGE,1,0.0,0.0,43.90556783735411,1.562172203721959,0.0,1.0,0.2175867710482959,0.0,0.07854966445154117,1.2937591792048457,-0.605294473128127,0.0,0.7254292540539641,1.2937591792048457,-0.09241136994332333,0.0,1.2567946312273903,3.3129476124636557,-2.619862337889676
M5,TRIANGLE_DESCENDING,DOWN,NO_NEAR_HTF_ZONE,1,1.0,1.0,46.42050024210704,0.4801736863657565,0.0,0.0,,0.0,0.15730069375228176,0.7217325948632867,-0.4719020812568453,0.0,0.5089140091985092,0.7217325948632867,-0.27758945956289965,0.0,0.5089140091985092,0.7217325948632867,0.30534840551893716
M5,TRIANGLE_DESCENDING,DOWN,STRUCTURAL_OBSTACLE_AHEAD,1,1.0,0.0,36.86189214992521,0.31625585639581266,0.0,1.0,0.9089368567952563,0.0,0.13622103638205962,1.7302461463274514,-1.7302461463274514,0.0,0.13622103638205962,2.8176245946408733,-2.4519786548783773,0.0,0.13622103638205962,4.89200809603898,-4.155936531026791
M5,TRIANGLE_SYMMETRIC,DOWN,RANGE_BOUNDARY_AHEAD,1,0.0,1.0,50.41258521730959,0.34609441860983775,0.0,1.0,0.2876743888700978,0.0,0.37607894144999127,0.24098262267659348,-0.1679575855019185,0.0,0.37607894144999127,0.6937378531599104,-0.628015319702703,0.0,0.37607894144999127,1.7599033959111614,-1.6430633364316813
