side,horizon_minutes,score,quality_class,sample_size,success_rate,avg_return_atr,median_return_atr,avg_mfe_atr,avg_mae_atr,avg_win_atr,avg_loss_atr,payoff_ratio,profit_factor
UP,30,3,STRONG,260,0.5384615384615384,0.4545265886471895,0.257723933777425,3.481779220306694,2.888127048070251,3.1179943659096816,-2.7506634483975048,1.133542661399081,1.3640937111751654
UP,30,4,VERY_STRONG,233,0.6437768240343348,0.577633782078533,0.5033652143109532,4.0204301970873635,2.585355186890722,3.3649115618197327,-3.2276477353014905,1.0425275116044908,1.4254968015816507
UP,30,5,VERY_STRONG,138,0.6014492753623188,0.8952520268834199,0.36208974607570316,4.101334655588459,2.140987675697323,3.6025235049379565,-2.4233388171834314,1.4865950561238703,1.8222778107324862
DOWN,60,-5,VERY_WEAK,37,0.4594594594594595,-0.12234880089330737,0.6474204758087868,4.255550623005775,4.050677811435977,3.6623533741589527,-4.1173122078929145,0.8895010116401174,0.9389177345090127
DOWN,60,-4,VERY_WEAK,109,0.5688073394495413,0.16030047812131465,0.1539763113366303,3.9940714889741993,3.845313616538357,3.4416074643580044,-3.3703320363235565,1.0211478950044925,1.099697733081761
DOWN,60,-3,VERY_WEAK,181,0.5138121546961326,0.18238372078831655,0.3837918959480645,4.4373313003374415,4.1012742619214375,4.025618523200458,-4.457619272367806,0.9030871138221104,1.0903124910779138
DOWN,60,-2,WEAK,199,0.5527638190954773,0.5906628901330664,0.35623409669225387,4.9304691208992395,3.9839902805833822,4.737362477864265,-4.330694862339126,1.093903548611016,1.2982591565932935
DOWN,60,-1,WEAK,209,0.5311004784688995,0.22019621748632467,0.21404056162236226,4.813376223999818,4.4815953033377225,4.7125905210146275,-4.868127942632467,0.968049849254017,1.0964646251754682
DOWN,60,0,NEUTRAL,217,0.5345622119815668,0.8852185101151353,0.399560922064056,5.353219837100746,3.9914800906774803,5.001623576385152,-4.021203690085491,1.2438125401896312,1.4825240378017823
DOWN,60,1,NEUTRAL,191,0.518324607329843,-0.06853584830580645,0.7262969588555148,4.632919837690946,4.502615525275692,4.179790733920835,-4.836102346137926,0.8642891392194757,0.9699244784574116
DOWN,60,2,STRONG,173,0.5549132947976878,-0.07571993349467349,-0.06420055029027617,4.705544972268997,4.602168564949553,4.0183867214639,-4.122767891269814,0.9746817738570859,0.9634785350771193
DOWN,60,3,STRONG,115,0.6086956521739131,0.5312025513449015,0.5601851851852397,5.1439044470554105,3.7011223713323202,4.02279190967788,-4.171754543552581,0.9642925698720887,1.2988430532970991
DOWN,60,4,VERY_STRONG,143,0.5524475524475524,0.7737552176005695,0.15107913669068748,5.888932235520456,3.9514676517130165,5.242875260106707,-3.8868985410129735,1.348858274736533,1.406666486510956
DOWN,60,5,VERY_STRONG,84,0.6190476190476191,1.849282952554568,0.41112935883352725,6.368077313370412,2.780000812779552,6.285750628730312,-3.0308314912387515,2.073936029403344,2.2813296323436782
UP,60,-5,VERY_WEAK,26,0.5769230769230769,0.4599657154422879,1.767113343306578,4.193383483368745,4.425140550833957,3.886798245891769,-5.022966333276882,0.7738053548441962,1.238088567750714
UP,60,-4,VERY_WEAK,92,0.40217391304347827,-1.1841706941762267,-0.5203426269491535,3.4099059633065916,5.492074876144606,3.841212507159005,-5.224184640347687,0.7352750278947567,0.5911034537977455
UP,60,-3,VERY_WEAK,164,0.45121951219512196,-0.28401640614464707,-0.23147127356211528,3.6692796401983525,4.728799406230063,4.000763603864459,-4.266341356623699,0.937750468010039,0.8715563173269775
UP,60,-2,WEAK,203,0.458128078817734,-0.5278147886533597,-0.5645351779988547,3.619065223070048,4.672264519922705,3.580396887644241,-4.070676234267804,0.879558255580169,0.7585181286654669
UP,60,-1,WEAK,242,0.45041322314049587,-0.234308185874228,-0.1489152749754334,4.106981620772428,4.7406311793199585,4.021691709330993,-4.217924087786316,0.9534765504615064,0.8924540512319701
UP,60,0,NEUTRAL,207,0.4830917874396135,-0.29382698149941167,0.0887652947719239,4.673472699246753,5.0051949868409835,4.584365645596318,-5.315495862333251,0.8624530550540205,0.8878193213791388
UP,60,1,NEUTRAL,191,0.4869109947643979,0.08395485773403025,-0.3308239230447788,5.066994040621233,4.66130491043259,5.25016204499783,-4.4238141586039905,1.186795343738989,1.0355371136546083
UP,60,2,STRONG,175,0.48,-0.41337061416513765,-0.05151267375314944,4.531675082194009,4.856454580641703,4.021468725413361,-4.507068466083751,0.8922581841557128,0.8236229392206581
UP,60,3,STRONG,144,0.5625,0.7485971334639471,0.8651903010137053,4.947001724288451,4.120462463783444,4.1940888569280155,-4.07509127938575,1.0292012054169748,1.440881687583765
UP,60,4,VERY_STRONG,142,0.6197183098591549,1.026595034646156,0.9191737112712186,5.646753859464325,3.8927103284972864,5.222109911715837,-4.234447430250745,1.2332447143892413,1.5464497212182549
UP,60,5,VERY_STRONG,71,0.6056338028169014,0.8566919037986206,0.43825249397998245,5.037644314924023,3.240560531954671,4.45373583220842,-3.0577382535885156,1.4565458070132664,1.5850645546909075
