side,horizon_minutes,score,quality_class,block,sample_size,success_rate,avg_return_atr,median_return_atr,avg_mfe_atr,avg_mae_atr,avg_win_atr,avg_loss_atr,payoff_ratio,profit_factor
DOWN,5,3,STRONG,4,276,0.6159420289855072,0.2594783913102578,0.30508533288275974,1.525610218661576,0.904034652810502,1.4071473215171124,-1.2546730544248361,1.1215250989527092,1.4796591641644987
DOWN,5,4,VERY_STRONG,0,264,0.7348484848484849,0.7009330386420052,0.5563169504050032,2.077612397903558,0.6246950867590174,1.6455180537660457,-0.9794339882628664,1.6800704013596184,2.9887568192607943
DOWN,5,4,VERY_STRONG,1,263,0.6996197718631179,0.6326120043237253,0.607861060328923,1.9400474470130677,0.6064509853378486,1.7047623424404243,-1.1149930468064928,1.5289443708399073,2.4921793244690487
DOWN,5,4,VERY_STRONG,2,263,0.6730038022813688,0.4006287786470629,0.47214076246326725,1.7768352254114474,0.7088508270948386,1.4291163531048028,-1.2227682751538793,1.1687548508935233,1.8447993234691884
DOWN,5,4,VERY_STRONG,3,263,0.7376425855513308,0.5328711555569703,0.45714285714237834,1.8994152903051527,0.5996737464236412,1.394883960151587,-0.9423260151925801,1.4802562358065845,2.533222011792712
DOWN,5,4,VERY_STRONG,4,264,0.7045454545454546,0.6993775281745236,0.49553163061392713,1.9077300368986803,0.5582528887317009,1.6142781066177903,-0.9380567295780032,1.7208747144151866,3.0939130503847507
DOWN,5,5,VERY_STRONG,0,150,0.6933333333333334,0.4269354716069188,0.38521014089093175,2.0769687196198485,0.6783365322295815,1.6241559985996625,-1.4196250022293468,1.1440739604114643,1.7645886508041229
DOWN,5,5,VERY_STRONG,1,150,0.6866666666666666,0.9280650153211198,0.41504607535186766,2.3689561636364087,0.4967077866402202,2.2422409279640103,-1.0988842736704565,2.0404704860090064,3.14716634282745
DOWN,5,5,VERY_STRONG,2,150,0.6466666666666666,0.5373668525747265,0.22942152209070243,2.088095735424727,0.7936583599976504,1.8771209783565195,-1.2146193119091564,1.5454397603855263,2.0209596866579957
DOWN,5,5,VERY_STRONG,3,150,0.7333333333333333,0.787996735308198,0.5256165843282861,2.213702956162974,0.5217601537070686,1.9106250950174044,-1.1163499751892068,1.7114929345464251,2.925097015406618
DOWN,5,5,VERY_STRONG,4,150,0.78,0.9338974326363405,0.742817099452789,2.2151080231932285,0.5207190321622667,1.9815334081256335,-1.161374518342245,1.7061967322600549,3.41239346452011
UP,5,-5,VERY_WEAK,0,46,0.391304347826087,-0.27241700263190494,-0.29471360866717033,1.017549796935058,1.640475561531952,1.355379706810906,-1.4179035759435124,0.9559040049031534,0.6726731886355524
UP,5,-5,VERY_WEAK,1,45,0.5777777777777777,0.3968221716670699,0.4831521739130461,1.3308257949965692,0.9301519232030031,1.2434968338418728,-1.0600571014096438,1.1730470294367108,2.0528323015142442
