timeframe,pattern_type,breakout_side,h1_color,h4_color,htf_alignment,horizon_minutes,sample_size,sample_status,success_rate,avg_return_atr,avg_mfe_atr,avg_mae_atr,avg_nearest_htf_obstacle_atr
H1,TRIANGLE_DESCENDING,UP,RED,GREEN,PARTIAL_OR_NONE,180,1,INSUFFICIENT_SAMPLE,1.0,1.9674575360103446,1.998062431014922,0.5093528954337733,
H1,TRIANGLE_DESCENDING,UP,RED,RED,PARTIAL_OR_NONE,15,7,INSUFFICIENT_SAMPLE,0.2857142857142857,-0.19999557736396273,0.3394222705278695,0.4818884778252758,0.2373815463844558
H1,TRIANGLE_DESCENDING,UP,RED,RED,PARTIAL_OR_NONE,30,7,INSUFFICIENT_SAMPLE,0.2857142857142857,-0.19999557736396273,0.3394222705278695,0.4818884778252758,0.2373815463844558
H1,TRIANGLE_DESCENDING,UP,RED,RED,PARTIAL_OR_NONE,60,7,INSUFFICIENT_SAMPLE,0.2857142857142857,-0.19999557736396273,0.3394222705278695,0.4818884778252758,0.2373815463844558
H1,TRIANGLE_DESCENDING,UP,RED,RED,PARTIAL_OR_NONE,180,7,INSUFFICIENT_SAMPLE,0.2857142857142857,-0.24681946021216297,0.5591406933120981,0.8531803920845417,0.2373815463844558
H1,TRIANGLE_SYMMETRIC,DOWN,GREEN,GREEN,PARTIAL_OR_NONE,15,4,INSUFFICIENT_SAMPLE,0.25,-0.03396066762295712,0.3331651307876101,0.22140296662389725,0.384538810252606
H1,TRIANGLE_SYMMETRIC,DOWN,GREEN,GREEN,PARTIAL_OR_NONE,30,4,INSUFFICIENT_SAMPLE,0.25,-0.03396066762295712,0.3331651307876101,0.22140296662389725,0.384538810252606
H1,TRIANGLE_SYMMETRIC,DOWN,GREEN,GREEN,PARTIAL_OR_NONE,60,4,INSUFFICIENT_SAMPLE,0.25,-0.03396066762295712,0.3331651307876101,0.22140296662389725,0.384538810252606
H1,TRIANGLE_SYMMETRIC,DOWN,GREEN,GREEN,PARTIAL_OR_NONE,180,4,INSUFFICIENT_SAMPLE,0.75,0.5264651021251374,0.9415084794008544,0.4243152774095032,0.384538810252606
H1,TRIANGLE_SYMMETRIC,DOWN,GREEN,RED,PARTIAL_OR_NONE,15,4,INSUFFICIENT_SAMPLE,0.0,0.052168324457022394,0.2734623045332546,0.12368242630027815,0.25714661789812465
